accession_version	Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset	full_minor	region	location	host_common_name	host_latin_name	submitters	collection_year
JQ686006	JQ686006	WR93-1654	USA	AZ		USA	Pallid bat	Antrozous pallidus	1993.0	Bats	AP	Original brain	Troupin	G	Troupin	Bats AP						
JQ685971.1	JQ685971	AZ3003	USA	AZ		USA	Pallid bat	Antrozous pallidus	2009.0	Bats	AP	N-P-M-G - original brain; L and termini - mouse	Troupin	Complete genome	Troupin	Bats AP	North America			Antrozous pallidus	Kuzmin,I.V.,Shi,M.,Orciari,L.A.,Yager,P.A.,Velasco-Villa,A.,Kuzmina,N.A.,Streicker,D.G.,Bergman,D.L.,Rupprecht,C.E.	2009
AB519641.1	AB519641	BR_AL1	Brazil			Brazil	Great fruit-eating bat	Artibeus lituratus	1998.0	Bats	DR	Original brain		Complete genome	Kuzmin	Bats DR	South America			Artibeus lituratus	Mochizuki,N.,Kobayashi,Y.,Sato,G.,Hirano,S.,Itou,T.,Ito,F.H.,Sakai,T.,Santos,H.P.,Fumio,I.H.	
JQ685937	JQ685937	2396	USA	AZ	Flagstaff	USA	Ring-tailed cat	Bassariscus astutus	2009.0	Bats	EF-W1	Original brain	This study	N, P, M, G, L	Troupin	Bats EF-W1						
KC193267.1	KC193267	CNM1101C	China			China	Cow	Bos taurus	2011.0	Asian	SEA1b	Original brain	Yin et al. unpublished	Complete genome	Kuzmin	Asian SEA1b	Asia			Bos taurus	Yin,J.,Guo,Z.,Tao,X.,Tang,Q.,Wang,F.,Liang,G.	2011
KC169986.1	KC169986	GXHXN	China			China	Cow	Bos taurus	2009.0	Asian	SEA1b	Original brain		Complete genome	Kuzmin	Asian SEA1b	Asia	China		Bos taurus	Tang,H.B.,He,X.X.,Zhong,Y.Z.,Liao,S.H.,Zhong,T.Z.,Xie,L.J.,Pan,Y.,Lu,Z.L.,Wei,X.K.,Luo,Y.,Luo,T.R.	2009
AF369330	AF369330	V458.DG	India			India	Cow	Bos taurus	1991.0	Arctic	AL1a		[18]	P	Troupin	Arctic AL1a						
KF155000.1	KF155000	RV2516	Iraq			Iraq	Cow	Bos taurus	2010.0	Cosmopolitan	CA2	Original brain		Complete genome	Kuzmin	Cosmopolitan CA2	Asia			Bos taurus	Marston,D.A.,McElhinney,L.M.,Ellis,R.J.,Horton,D.L.,Wise,E.L.,Leech,S.L.,David,D.,de Lamballerie,X.,Fooks,A.R.	2010
KX148184.1	KX148184	96324ISR	Israel			Israel	Cow	Bos taurus	1996.0	Cosmopolitan	ME1a	Original brain	This study	Complete genome	Kuzmin	Cosmopolitan ME1a	Asia			Bos taurus	Troupin,C.,Dacheux,L.,Tanguy,M.,Sabeta,C.,Blanc,H.,Bouchier,C.,Vignuzzi,M.,Duchene,S.,Holmes,E.C.,Bourhy,H.	1996
JQ685936	JQ685936	3634DR	Mexico			Mexico	Cow	Bos taurus	2009.0	Bats	DR	Mouse	This study	N, P, M, G, L	Troupin	Bats DR						
